1,1,1,Vendemiaire,Vintage,Grapes,https://en.wikipedia.org/wiki/Grape
2,2,1,Vendemiaire,Vintage,Saffron,https://en.wikipedia.org/wiki/Saffron
3,3,1,Vendemiaire,Vintage,Chestnuts,https://en.wikipedia.org/wiki/Chestnuts
4,4,1,Vendemiaire,Vintage,"the Autumn Crocus",https://en.wikipedia.org/wiki/Colchicum_autumnale
5,5,1,Vendemiaire,Vintage,Horses,https://en.wikipedia.org/wiki/Horses
6,6,1,Vendemiaire,Vintage,Impatiens,https://en.wikipedia.org/wiki/Impatiens
7,7,1,Vendemiaire,Vintage,Carrots,https://en.wikipedia.org/wiki/Carrots
8,8,1,Vendemiaire,Vintage,Amaranth,https://en.wikipedia.org/wiki/Amaranth
9,9,1,Vendemiaire,Vintage,Parsnips,https://en.wikipedia.org/wiki/Parsnips
10,10,1,Vendemiaire,Vintage,Vats,https://en.wikipedia.org/wiki/Storage_tank
11,11,2,Vendemiaire,Vintage,Potatoes,https://en.wikipedia.org/wiki/Potatoes
12,12,2,Vendemiaire,Vintage,Strawflower,https://en.wikipedia.org/wiki/Strawflower
13,13,2,Vendemiaire,Vintage,"Winter squash",https://en.wikipedia.org/wiki/Winter_squash
14,14,2,Vendemiaire,Vintage,Mignonette,https://en.wikipedia.org/wiki/Mignonette
15,15,2,Vendemiaire,Vintage,Donkeys,https://en.wikipedia.org/wiki/Donkeys
16,16,2,Vendemiaire,Vintage,"Four o'clock flowers",https://en.wikipedia.org/wiki/Mirabilis_jalapa
17,17,2,Vendemiaire,Vintage,Pumpkins,https://en.wikipedia.org/wiki/Pumpkins
18,18,2,Vendemiaire,Vintage,Buckwheat,https://en.wikipedia.org/wiki/Buckwheat
19,19,2,Vendemiaire,Vintage,Sunflowers,https://en.wikipedia.org/wiki/Sunflowers
20,20,2,Vendemiaire,Vintage,"the Wine-Press",https://en.wikipedia.org/wiki/Fruit_press
21,21,3,Vendemiaire,Vintage,Hemp,https://en.wikipedia.org/wiki/Hemp
22,22,3,Vendemiaire,Vintage,Peaches,https://en.wikipedia.org/wiki/Peaches
23,23,3,Vendemiaire,Vintage,Turnips,https://en.wikipedia.org/wiki/Turnips
24,24,3,Vendemiaire,Vintage,Amaryllis,https://en.wikipedia.org/wiki/Amaryllis
25,25,3,Vendemiaire,Vintage,Oxen,https://en.wikipedia.org/wiki/Oxen
26,26,3,Vendemiaire,Vintage,Eggplants,https://en.wikipedia.org/wiki/Eggplants
27,27,3,Vendemiaire,Vintage,"Chili Peppers",https://en.wikipedia.org/wiki/Chili_pepper
28,28,3,Vendemiaire,Vintage,Tomatoes,https://en.wikipedia.org/wiki/Tomatoes
29,29,3,Vendemiaire,Vintage,Barley,https://en.wikipedia.org/wiki/Barley
30,30,3,Vendemiaire,Vintage,"the Barrel",https://en.wikipedia.org/wiki/Barrel#Beverage_maturing
31,1,1,Brumaire,Mist,Apples,https://en.wikipedia.org/wiki/Apples
32,2,1,Brumaire,Mist,Celery,https://en.wikipedia.org/wiki/Celery
33,3,1,Brumaire,Mist,Pears,https://en.wikipedia.org/wiki/Pears
34,4,1,Brumaire,Mist,Beetroot,https://en.wikipedia.org/wiki/Beetroot
35,5,1,Brumaire,Mist,Geese,https://en.wikipedia.org/wiki/Geese
36,6,1,Brumaire,Mist,Heliotrope,https://en.wikipedia.org/wiki/Heliotropium
37,7,1,Brumaire,Mist,"the Common fig",https://en.wikipedia.org/wiki/Common_fig
38,8,1,Brumaire,Mist,"Black Salsify",https://en.wikipedia.org/wiki/Scorzonera_hispanica
39,9,1,Brumaire,Mist,"the Chequer Tree",https://en.wikipedia.org/wiki/Sorbus_torminalis
40,10,1,Brumaire,Mist,"the Plough",https://en.wikipedia.org/wiki/Plough
41,11,2,Brumaire,Mist,Salsify,https://en.wikipedia.org/wiki/Tragopogon_porrifolius
42,12,2,Brumaire,Mist,"the Water caltrop",https://en.wikipedia.org/wiki/Water_caltrop
43,13,2,Brumaire,Mist,"Jerusalem artichokes",https://en.wikipedia.org/wiki/Jerusalem_artichoke
44,14,2,Brumaire,Mist,Endives,https://en.wikipedia.org/wiki/Endives
45,15,2,Brumaire,Mist,Turkeys,https://en.wikipedia.org/wiki/Turkeys
46,16,2,Brumaire,Mist,Skirret,https://en.wikipedia.org/wiki/Skirret
47,17,2,Brumaire,Mist,Watercress,https://en.wikipedia.org/wiki/Watercress
48,18,2,Brumaire,Mist,Leadworts,https://en.wikipedia.org/wiki/Leadworts
49,19,2,Brumaire,Mist,Pomegranates,https://en.wikipedia.org/wiki/Pomegranates
50,20,2,Brumaire,Mist,"the Harrow",https://en.wikipedia.org/wiki/Harrow_(tool)
51,21,3,Brumaire,Mist,Baccharis,https://en.wikipedia.org/wiki/Baccharis
52,22,3,Brumaire,Mist,Azarole,https://en.wikipedia.org/wiki/Azarole
53,23,3,Brumaire,Mist,Madder,https://en.wikipedia.org/wiki/Madder
54,24,3,Brumaire,Mist,Oranges,https://en.wikipedia.org/wiki/Oranges
55,25,3,Brumaire,Mist,"the Pheasant",https://en.wikipedia.org/wiki/Pheasant
56,26,3,Brumaire,Mist,Pistachios,https://en.wikipedia.org/wiki/Pistachios
57,27,3,Brumaire,Mist,"Tuberous peas",https://en.wikipedia.org/wiki/Lathyrus_tuberosus
58,28,3,Brumaire,Mist,Quince,https://en.wikipedia.org/wiki/Quince
59,29,3,Brumaire,Mist,"the Service tree",https://en.wikipedia.org/wiki/Sorbus_domestica
